warehouseID,scenario,drivingTime_hrs
0,0,21
1,0,30
2,0,25
3,0,32
4,0,35.75
5,0,45
6,0,39
7,0,34
8,0,49
9,0,41
10,0,46
11,0,42
12,0,50
13,0,38
14,0,39
15,0,30
16,0,19
17,0,19
18,0,7
19,0,26
20,0,33
21,0,36
22,0,12
23,0,10
24,0,12
25,0,36
26,0,45
0,1,23
1,1,31
2,1,26
3,1,34
4,1,36.75
5,1,47
6,1,41
7,1,35
8,1,50
9,1,43
10,1,48
11,1,44
12,1,51
13,1,39
14,1,41
15,1,31
16,1,20
17,1,21
18,1,9
19,1,28
20,1,35
21,1,37
22,1,1
23,1,0
24,1,13
25,1,38
26,1,47
0,2,10
1,2,18
2,2,13
3,2,21
4,2,23.75
5,2,33
6,2,27
7,2,22
8,2,37
9,2,29
10,2,34
11,2,30
12,2,38
13,2,26
14,2,27
15,2,18
16,2,7
17,2,7
18,2,4
19,2,14
20,2,20.75
21,2,24
22,2,15
23,2,13
24,2,0
25,2,24
26,2,33
0,3,16
1,3,15
2,3,10
3,3,20
4,3,23.75
5,3,33
6,3,27
7,3,22
8,3,34
9,3,27
10,3,32
11,3,28
12,3,35
13,3,23
14,3,25
15,3,18
16,3,4
17,3,0
18,3,12
19,3,12
20,3,18.5
21,3,21
22,3,22
23,3,21
24,3,7
25,3,22
26,3,31
18,4,11
18,4,11
18,4,11
0,4,26
0,4,27
0,4,22
1,4,5
1,4,7
1,4,22.8
26,4,19
26,4,16
26,4,0
10,4,4
10,4,13.65
10,4,17
22,4,22
22,4,28
22,4,7
2,4,30.69
2,4,16
2,4,18.75
24,4,20
24,4,17
24,4,30
11,4,13
11,4,22
11,4,20
13,5,25
13,5,11
13,5,15
3,5,30
3,5,30
3,5,35
16,5,10
16,5,21
16,5,26
17,5,18
17,5,0
17,5,16
20,5,20
20,5,18.2
20,5,17
25,5,6
25,5,12
25,5,12
6,5,30.17
6,5,21
6,5,2.75
5,5,34
5,5,1
5,5,29
19,5,2
19,5,26
19,5,20
0,6,0
1,6,11
2,6,6
3,6,11
4,6,13.75
5,6,23
6,6,17
7,6,12
8,6,30
9,6,22
10,6,27
11,6,22.83
12,6,30.75
13,6,19
14,6,20
15,6,8
16,6,11
17,6,16
18,6,14
19,6,7
20,6,14.25
21,6,16
22,6,24
23,6,23
24,6,10
25,6,17
26,6,26
0,7,14.32
1,7,11.27
2,7,8.33
3,7,18.57
4,7,21.35
5,7,31
6,7,25
7,7,19.6
8,7,30
9,7,22.5
10,7,27
11,7,26
12,7,30.75
13,7,19.08
14,7,20.67
15,7,15.75
16,7,13.57
17,7,18.28
18,7,25
19,7,6.3
20,7,0
21,7,17.07
22,7,36
23,7,34
24,7,20.67
25,7,17.38
26,7,26
0,8,8
1,8,12
2,8,7
3,8,2
4,8,4.75
5,8,15
6,8,9
7,8,3
8,8,27
9,8,23
10,8,28
11,8,23.71
12,8,27.55
13,8,16
14,8,17
15,8,0
16,8,13
17,8,18
18,8,22
19,8,9
20,8,15.75
21,8,18
22,8,33
23,8,31
24,8,18
25,8,14
26,8,27
0,9,9
1,9,6
2,9,3
3,9,14
4,9,16.75
5,9,26
6,9,20
7,9,15
8,9,25
9,9,18
10,9,22.5
11,9,18.46
12,9,26.32
13,9,14
14,9,16
15,9,11
16,9,9
17,9,13
18,9,20
19,9,1
20,9,4.5
21,9,12
22,9,31
23,9,29
24,9,16
25,9,13
26,9,22
0,10,6
1,10,5
2,10,0
3,10,10
4,10,12.75
5,10,23
6,10,17
7,10,11
8,10,24
9,10,16
10,10,21.35
11,10,17.33
12,10,25.18
13,10,13
14,10,14
15,10,7
16,10,5
17,10,10
18,10,17
19,10,1
20,10,8.3
21,10,11
22,10,27
23,10,26
24,10,13
25,10,11
26,10,21
0,11,8
1,11,5
2,11,2
3,11,12
4,11,14.75
5,11,24
6,11,18
7,11,13
8,11,24
9,11,17
10,11,21.4
11,11,17.38
12,11,25.25
13,11,13
14,11,15
15,11,9
16,11,7
17,11,12
18,11,19
19,11,0
20,11,6.4
21,11,11
22,11,29
23,11,28
24,11,14
25,11,12
26,11,21
12,12,20
12,12,9
12,12,2
21,12,17
21,12,17.68
21,12,31
4,12,3
4,12,16
4,12,13.61
23,12,9
23,12,13
23,12,9
7,12,13
7,12,9.4
7,12,8
8,12,20
8,12,26
8,12,3
15,12,21.5
15,12,7
15,12,15.75
9,12,29
9,12,14
9,12,20
14,12,10
14,12,13
14,12,11
0,13,17
1,13,6
2,13,12
3,13,22
4,13,24.75
5,13,34
6,13,28
7,13,23
8,13,23
9,13,15
10,13,20.1
11,13,16.01
12,13,24.92
13,13,13
14,13,14
15,13,19
16,13,17
17,13,22
18,13,29
19,13,12
20,13,17.75
21,13,0
22,13,39
23,13,38
24,13,24
25,13,11
26,13,19
0,14,14
1,14,5
2,14,11
3,14,14
4,14,16.75
5,14,27
6,14,21
7,14,15
8,14,15
9,14,11
10,14,16.5
11,14,12.35
12,14,16.17
13,14,4
14,14,6
15,14,11
16,14,16
17,14,21
18,14,28
19,14,11
20,14,16.9
21,14,10
22,14,38
23,14,37
24,14,23
25,14,2
26,14,16
0,15,14
1,15,3
2,15,8
3,15,17
4,15,20.75
5,15,30
6,15,24
7,15,19
8,15,16
9,15,8
10,15,12.37
11,15,8.3
12,15,18.02
13,15,6
14,15,7
15,15,15
16,15,14
17,15,19
18,15,26
19,15,9
20,15,14.7
21,15,8
22,15,36
23,15,35
24,15,21
25,15,4
26,15,12
0,16,16
1,16,6
2,16,11
3,16,16
4,16,18.75
5,16,29
6,16,23
7,16,17
8,16,12
9,16,11
10,16,15.5
11,16,11.43
12,16,13.35
13,16,1
14,16,3
15,16,14
16,16,17
17,16,22
18,16,29
19,16,12
20,16,17.5
21,16,11
22,16,39
23,16,38
24,16,24
25,16,0
26,16,15
0,17,17
1,17,6
2,17,12
3,17,20
4,17,23.75
5,17,33
6,17,27
7,17,22
8,17,12
9,17,4
10,17,9.4
11,17,5.25
12,17,15.95
13,17,4
14,17,5
15,17,18
16,17,17
17,17,22
18,17,29
19,17,12
20,17,17.7
21,17,10
22,17,39
23,17,38
24,17,24
25,17,6
26,17,9
0,18,18
1,18,8
2,18,13
3,18,18
4,18,20.75
5,18,31
6,18,25
7,18,19
8,18,11
9,18,9
10,18,13.8
11,18,9.7
12,18,11.6
13,18,0
14,18,1
15,18,15
16,18,19
17,18,23
18,18,30
19,18,13
20,18,19.25
21,18,13
22,18,41
23,18,39
24,18,26
25,18,1
26,18,13
0,19,22
1,19,11
2,19,16
3,19,25
4,19,27.75
5,19,38
6,19,32
7,19,26
8,19,15
9,19,0
10,19,6.7
11,19,2.68
12,19,20.75
13,19,9
14,19,10
15,19,23
16,19,22
17,19,27
18,19,34
19,19,17
20,19,22.5
21,19,15
22,19,44
23,19,43
24,19,29
25,19,11
26,19,11
0,20,29
1,20,19
2,20,24
3,20,29
4,20,31.75
5,20,42
6,20,36
7,20,30
8,20,0
9,20,15
10,20,8.68
11,20,12.96
12,20,19.45
13,20,11
14,20,9
15,20,26
16,20,30
17,20,34
18,20,41
19,20,24
20,20,30
21,20,23
22,20,52
23,20,50
24,20,37
25,20,12
26,20,3
0,21,26
1,21,15
2,21,21
3,21,29
4,21,31.75
5,21,42
6,21,36
7,21,30
8,21,3
10,21,5.13
27,21,11
11,21,9.46
12,21,22.5
13,21,13
14,21,12
15,21,27
16,21,26
17,21,31
18,21,38
19,21,21
20,21,26
21,21,19
22,21,48
23,21,47
24,21,33
25,21,15
26,21,0
